probes,q_value
206666_at,0.027841344896387545
220570_at,0.027841344896387545
238968_at,0.027841344896387545
204970_s_at,0.04109734386664906
226733_at,0.04109734386664906
209954_x_at,0.056301180337223436
205798_at,0.05736035560244032
210279_at,0.05736035560244032
210426_x_at,0.05736035560244032
210479_s_at,0.05736035560244032
227232_at,0.05736035560244032
231688_at,0.05736035560244032
239086_at,0.05736035560244032
228285_at,0.0669749227142541
218865_at,0.08564910740022158
227957_at,0.11230490599923738
202934_at,0.11831839219256413
208744_x_at,0.11831839219256413
223832_s_at,0.14161930927665406
235189_at,0.14161930927665406
215769_at,0.14514124386910837
206848_at,0.17512533396574725
207651_at,0.17512533396574725
232645_at,0.17512533396574725
209410_s_at,0.17616324054007249
219870_at,0.17616324054007249
226956_at,0.18455521608072276
240893_at,0.18455521608072276
206697_s_at,0.19120403815020862
224841_x_at,0.22256966880478585
231500_s_at,0.23302741215525713
234402_at,0.23302741215525713
200636_s_at,0.23763788027815927
226991_at,0.23763788027815927
212705_x_at,0.2547205990905315
1555742_at,0.2559570562533174
1556151_at,0.2559570562533174
1558136_s_at,0.2559570562533174
201608_s_at,0.2559570562533174
202747_s_at,0.2559570562533174
204448_s_at,0.2559570562533174
206136_at,0.2559570562533174
207329_at,0.2559570562533174
208470_s_at,0.2559570562533174
209409_at,0.2559570562533174
211690_at,0.2559570562533174
212768_s_at,0.2559570562533174
213649_at,0.2559570562533174
214470_at,0.2559570562533174
216451_at,0.2559570562533174
216748_at,0.2559570562533174
223007_s_at,0.2559570562533174
223393_s_at,0.2559570562533174
224741_x_at,0.2559570562533174
225016_at,0.2559570562533174
233609_at,0.2559570562533174
233881_s_at,0.2559570562533174
235697_at,0.2559570562533174
236901_at,0.2559570562533174
239574_at,0.2559570562533174
240327_at,0.2559570562533174
1562529_s_at,0.25838936245827315
206237_s_at,0.25838936245827315
206804_at,0.25838936245827315
211657_at,0.25838936245827315
215339_at,0.25838936245827315
215842_s_at,0.25838936245827315
224358_s_at,0.25838936245827315
225496_s_at,0.25838936245827315
227729_at,0.25838936245827315
1552755_at,0.26804348792138905
1555691_a_at,0.26804348792138905
204140_at,0.270808709942099
204620_s_at,0.270808709942099
205843_x_at,0.270808709942099
216388_s_at,0.270808709942099
1557073_s_at,0.27649431541781255
208705_s_at,0.27649431541781255
210288_at,0.27649431541781255
221959_at,0.27649431541781255
231989_s_at,0.27649431541781255
237291_at,0.27649431541781255
206177_s_at,0.2808719784371965
225065_x_at,0.28562798906026604
200032_s_at,0.286745293200835
206676_at,0.29030650398083624
239173_at,0.29293569133432257
242794_at,0.29488853178041696
224840_at,0.3044236538586277
204892_x_at,0.3045689415416395
200999_s_at,0.30464494051191027
217374_x_at,0.3058362812740795
1564765_at,0.31372137304379377
214447_at,0.31372137304379377
220613_s_at,0.31372137304379377
206878_at,0.31887349827002326
219717_at,0.31887349827002326
237147_at,0.31887349827002326
203795_s_at,0.3325743863791102
204619_s_at,0.3325743863791102
206157_at,0.3325743863791102
209263_x_at,0.3325743863791102
221731_x_at,0.3325743863791102
226655_at,0.3325743863791102
227939_s_at,0.3325743863791102
1554390_s_at,0.3333474132072176
230267_at,0.3358990247815209
222639_s_at,0.33839962049511374
223796_at,0.33839962049511374
225056_at,0.33839962049511374
225379_at,0.33839962049511374
225863_s_at,0.33839962049511374
236407_at,0.33839962049511374
241435_at,0.33839962049511374
242241_x_at,0.33839962049511374
208230_s_at,0.3482454454841259
237350_at,0.3482454454841259
1557267_s_at,0.35380133404817826
1555803_a_at,0.35443198129114806
206966_s_at,0.35443198129114806
1552553_a_at,0.36265578448695945
205200_at,0.36265578448695945
220034_at,0.36265578448695945
239421_at,0.36265578448695945
208168_s_at,0.3631772620716107
1561780_at,0.370270222647365
212079_s_at,0.374034340942545
200772_x_at,0.3748484347857621
202899_s_at,0.3823266765474373
223323_x_at,0.38971190501964365
229671_s_at,0.38971190501964365
203220_s_at,0.39434885142753356
212392_s_at,0.39434885142753356
224466_s_at,0.3945559190042056
216608_at,0.3949197765657428
1556055_at,0.3983260037408075
206310_at,0.3983260037408075
206714_at,0.3983260037408075
211584_s_at,0.3983260037408075
217472_at,0.3983260037408075
219759_at,0.3983260037408075
